date,p_Aggression_mean,p_Anxiety_mean,p_Disappointment_mean,p_Hope_mean,p_Neutral_mean,p_Uncertainty_mean,p_Aggression_wmean,p_Anxiety_wmean,p_Disappointment_wmean,p_Hope_wmean,p_Neutral_wmean,p_Uncertainty_wmean,emotion_entropy,msg_volume
2017-11-24,0.010890212,0.12906528,0.03905125,0.09115659,0.6093942,0.120442465,0.011251999085299167,0.13971685442713647,0.03760356725716779,0.11892691692164291,0.5774036890166865,0.11509695788308515,1.7531681,10
2017-11-25,0.015907485,0.22415404,0.034472063,0.014069152,0.64288867,0.06850859,0.019635242588862727,0.3041794351732295,0.031516495065692145,0.014346575082027477,0.5585595331477395,0.07176268845613311,1.5073689,5
2017-11-26,0.013314635,0.37033898,0.02892277,0.036995485,0.49389863,0.056529492,0.009431345550499659,0.09667577597202168,0.04631560560478278,0.0610666288959027,0.7318415727330787,0.05466908373420468,1.6744534,5
2017-11-27,0.012857442,0.2143259,0.042007938,0.01963542,0.5844948,0.1266785,0.010513891331120594,0.17465066112716224,0.04774636510417895,0.019730716738085362,0.5777388893620601,0.16961948629629814,1.6908982,10
2017-11-28,0.013273095,0.26669654,0.033028234,0.10529876,0.5096713,0.07203208,0.011796959931863367,0.15715081528622643,0.03684227526315933,0.16556477361607588,0.5500200742936445,0.07862507089852872,1.8646978,10
2017-11-29,0.015902992,0.24504799,0.04934041,0.021551825,0.5800206,0.088136226,0.01826745329651016,0.21823870757677455,0.04803776135641996,0.024610065761758684,0.5774754314527504,0.11337060403158118,1.6903194,9
2017-11-30,0.08571681,0.35266745,0.059415635,0.01383718,0.33161303,0.15674987,0.12347452356562122,0.29038613203996894,0.07644769614198882,0.013304169662201524,0.40590823554395583,0.09047924152168726,2.1086662,11
2017-12-01,0.07104611,0.1684318,0.027544657,0.016099554,0.56791145,0.14896642,0.0781587043727301,0.2495825959540148,0.029567979545490217,0.017486491594658832,0.4867750894600687,0.13842913676970045,1.8152857,16
2017-12-02,0.009405163,0.17259611,0.046811283,0.024747403,0.5962767,0.15016337,0.008506309071524375,0.05965651135470761,0.042297184422009006,0.03532111223436458,0.6105674866179593,0.24365140714925532,1.6951467,6
2017-12-03,0.01397129,0.05569601,0.030395929,0.12086131,0.58356845,0.195507,0.013358498223945532,0.03343212651709158,0.029890747935383374,0.18638261791672994,0.5112312616307104,0.2257047453515531,1.7535874,5
2017-12-04,0.009504207,0.19371802,0.10994424,0.017178476,0.59407973,0.07557532,0.012093964001870102,0.3005180013063729,0.13352058745122308,0.01905903533047094,0.43107200853473027,0.10373640076315901,1.7013761,9
